mp-id,temperature,Svib_kB_atom
mp-1000,100.0,2.1386731720854395
mp-1000,150.0,3.1125392105284235
mp-1000,200.0,3.879096920691907
mp-1000,250.0,4.501379407094244
mp-1000,300.0,5.022012175415845
mp-1000,350.0,5.468330152321279
mp-1000,400.0,5.858346493905045
mp-1000,450.0,6.204394336970957
mp-1000,500.0,6.515228543208447
mp-10009,100.0,2.1386731720854395
mp-10009,150.0,3.1125392105284235
mp-10009,200.0,3.879096920691907
mp-10009,250.0,4.501379407094244
mp-10009,300.0,5.022012175415845
mp-10009,350.0,5.468330152321279
mp-10009,400.0,5.858346493905045
mp-10009,450.0,6.204394336970957
mp-10009,500.0,6.515228543208447
mp-10070,100.0,0.897476304402931
mp-10070,150.0,1.3730273145527523
mp-10070,200.0,1.7995999346430693
mp-10070,250.0,2.1853944811440527
mp-10070,300.0,2.537033929992742
mp-10070,350.0,2.8596309578229038
mp-10070,400.0,3.157100441539468
mp-10070,450.0,3.4325549245883047
mp-10070,500.0,3.6885693434618165
mp-10074,100.0,1.9984260913431064
mp-10074,150.0,2.9027605092157
mp-10074,200.0,3.6343426112970465
mp-10074,250.0,4.237823237190668
mp-10074,300.0,4.747440289777605
mp-10074,350.0,5.186821365142418
mp-10074,400.0,5.572211211477003
mp-10074,450.0,5.9150289988697216
mp-10074,500.0,6.223523170241114
mp-10080,100.0,0.5514431523717394
mp-10080,150.0,0.959353744717939
mp-10080,200.0,1.3495122403338853
mp-10080,250.0,1.7153226233591037
mp-10080,300.0,2.0564973778725624
mp-10080,350.0,2.3739017711478447
mp-10080,400.0,2.66893630857266
mp-10080,450.0,2.9433173565803448
mp-10080,500.0,3.1988788449402383
mp-10096,100.0,1.4654260007610056
mp-10096,150.0,2.363405127349199
mp-10096,200.0,3.096909058126541
mp-10096,250.0,3.702356640285806
mp-10096,300.0,4.21337921294742
mp-10096,350.0,4.653732654165682
mp-10096,400.0,5.039806455474731
mp-10096,450.0,5.383117976981801
mp-10096,500.0,5.691977967922077
mp-10097,100.0,1.876954660989571
mp-10097,150.0,2.8710356656189195
mp-10097,200.0,3.648222130737993
mp-10097,250.0,4.27626824906622
mp-10097,300.0,4.800287466701551
mp-10097,350.0,5.2487406001977694
mp-10097,400.0,5.6401818557915355
mp-10097,450.0,5.987224882633054
mp-10097,500.0,6.298780219294088
mp-10155,100.0,0.5200039600035705
mp-10155,150.0,1.0378168931768577
mp-10155,200.0,1.5560466137523583
mp-10155,250.0,2.0362406102963355
mp-10155,300.0,2.470213931168492
mp-10155,350.0,2.86051916241151
mp-10155,400.0,3.2125177097673476
mp-10155,450.0,3.531695880252998
mp-10155,500.0,3.8228912484571564
mp-10159,100.0,3.076106716151368
